"Date","Province","Deaths"
2020-04-11,"NC",0
2020-04-12,"NC",0
2020-04-13,"NC",0
2020-04-14,"NC",0
2020-04-15,"NC",0
2020-04-16,"NC",0
2020-04-17,"NC",0
2020-04-18,"NC",0
2020-04-19,"NC",0
2020-04-20,"NC",0
2020-04-21,"NC",0
2020-04-22,"NC",0
2020-04-23,"NC",0
2020-04-24,"NC",0
2020-04-25,"NC",0
2020-04-26,"NC",0
2020-04-27,"NC",0
2020-04-28,"NC",0
2020-04-29,"NC",0
2020-04-30,"NC",0
2020-05-01,"NC",0
2020-05-02,"NC",0
2020-05-03,"NC",0
2020-05-04,"NC",0
2020-05-05,"NC",0
2020-05-06,"NC",0
2020-05-07,"NC",0
2020-05-08,"NC",0
2020-05-09,"NC",0
2020-05-10,"NC",0
2020-05-11,"NC",0
2020-05-12,"NC",0
2020-05-13,"NC",0
2020-05-14,"NC",0
2020-05-15,"NC",0
2020-05-16,"NC",0
2020-05-17,"NC",0
2020-05-18,"NC",0
2020-05-19,"NC",1
2020-05-20,"NC",1
2020-05-21,"NC",1
2020-05-22,"NC",1
2020-05-23,"NC",1
2020-05-24,"NC",1
2020-05-25,"NC",1
2020-05-26,"NC",1
2020-05-27,"NC",1
2020-05-28,"NC",1
2020-05-29,"NC",1
2020-05-30,"NC",1
2020-05-31,"NC",1
2020-06-01,"NC",1
2020-06-02,"NC",1
2020-06-03,"NC",1
2020-06-04,"NC",1
2020-06-05,"NC",1
2020-06-06,"NC",1
2020-06-07,"NC",1
2020-06-08,"NC",1
2020-06-09,"NC",1
2020-06-10,"NC",1
2020-06-11,"NC",1
2020-06-12,"NC",1
2020-06-13,"NC",1
2020-06-14,"NC",1
2020-06-15,"NC",1
2020-06-16,"NC",1
2020-06-17,"NC",1
2020-06-18,"NC",1
2020-06-19,"NC",1
2020-06-20,"NC",1
2020-06-21,"NC",1
2020-06-22,"NC",1
2020-06-23,"NC",1
2020-06-24,"NC",1
2020-06-25,"NC",1
2020-06-26,"NC",1
2020-06-27,"NC",1
2020-06-28,"NC",1
2020-06-29,"NC",1
2020-06-30,"NC",1
2020-07-01,"NC",1
2020-07-02,"NC",1
2020-07-03,"NC",4
2020-07-04,"NC",4
2020-07-05,"NC",6
2020-07-06,"NC",6
2020-07-07,"NC",6
2020-07-08,"NC",6
2020-07-09,"NC",7
2020-07-10,"NC",7
2020-07-11,"NC",11
2020-07-12,"NC",11
2020-07-13,"NC",11
